RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
610	102	700	502222.67	7903433	4185.19
610	102	800	509056.33	7970973.67	4242.14
610	102	900	521263	6807088	4343.86
610	102	1000	500288	5916242.67	4169.07
610	282	100	444880.67	7273116	3707.34
610	282	200	420651	7790560.33	3505.43
610	282	300	436387	8056167.67	3636.56
610	282	400	400423	8048377.67	3336.86
610	282	500	453011	8533549	3775.09
610	282	600	434161.67	9014567.33	3618.01
610	282	700	471131	7865461	3926.09
610	282	800	421531.67	8835468.67	3512.76
610	282	900	517735.67	8846642	4314.46
610	282	1000	522808	9228414.67	4356.73
610	322	100	426702.67	8109404.67	3555.86
610	322	200	369282	10005964.67	3077.35
610	322	300	436510.67	9654484.67	3637.59
610	322	400	389080.33	9772870.33	3242.34
610	322	500	414281.33	9243620	3452.34
610	322	600	473523.33	9301273.67	3946.03
610	322	700	397880.67	9526040.33	3315.67
610	322	800	488697.67	9172482	4072.48
610	322	900	388811.67	9745654.67	3240.1
610	322	1000	452814	9836236.33	3773.45
610	361	100	444472.33	9373206	3703.94
610	361	200	397667	10166182.33	3313.89
610	361	300	398800	10613010	3323.33
610	361	400	399823.33	9362478	3331.86
610	361	500	389001.67	9247617.33	3241.68
610	361	600	395182.67	9578077.67	3293.19
610	361	700	452220.33	9115426	3768.5
610	361	800	380018	8190527.33	3166.82
610	361	900	445000	8756147.33	3708.33
610	361	1000	481547.67	10487950.33	4012.9
610	401	100	482878	6263846	4023.98
610	401	200	486389	6091216.33	4053.24
610	401	300	490872.33	6658555	4090.6
610	401	400	493032.67	6608138	4108.61
610	401	500	485582.33	7335124.33	4046.52
610	401	600	484815	6485204.67	4040.13
610	401	700	507276.67	7725227	4227.31
610	401	800	494484	6317435.67	4120.7
610	401	900	540575.33	6756725	4504.79
610	401	1000	522030	5389989.33	4350.25
610	422	100	446819	6943768	3723.49
610	422	200	438507	8680382.67	3654.23
610	422	300	399825.33	8140471	3331.88
610	422	400	421953	8136189.67	3516.28
610	422	500	437603.67	9039464	3646.7
610	422	600	476329.33	7945289	3969.41
610	422	700	461524	8362393	3846.03
610	422	800	466024.33	8473895.67	3883.54
610	422	900	483136.33	9400689.33	4026.14
610	422	1000	465888	8378052.67	3882.4
610	462	100	456167.33	8864803.67	3801.39
610	462	200	388548.67	9436975	3237.91
610	462	300	370339	9371066.33	3086.16
610	462	400	425493	9942855.67	3545.78
610	462	500	434586	9375012.33	3621.55
610	462	600	355289.33	9812714.67	2960.74
610	462	700	403390.33	10186786.67	3361.59
610	462	800	410968.67	9527642.67	3424.74
610	462	900	414435.67	8975803.67	3453.63
610	462	1000	484285.67	9190092.33	4035.71
610	482	100	424849.67	7539676	3540.41
610	482	200	407381.33	9758404.33	3394.84
610	482	300	388526	9096419	3237.72
610	482	400	418597.67	9283712.33	3488.31
610	482	500	414465.33	8836759.67	3453.88
610	482	600	442604.33	9424997.33	3688.37
610	482	700	458426.67	9567296.33	3820.22
610	482	800	433790	9155733	3614.92
610	482	900	420237.67	9066132.67	3501.98
610	482	1000	430323.33	8927180.33	3586.03
610	521	100	499763	6341572.33	4164.69
610	521	200	484965	7280557	4041.38
610	521	300	486481	7131117.33	4054.01
610	521	400	490556	6146342.67	4087.97
610	521	500	495400.33	5220762.33	4128.34
610	521	600	503578.67	5833132.33	4196.49
610	521	700	515482.33	5374401.67	4295.69
610	521	800	499200	8186724.67	4160
610	521	900	510008.33	5067674	4250.07
610	521	1000	529329.67	6897785.33	4411.08
610	542	100	464767.67	8176673.67	3873.06
610	542	200	427478.67	8316003	3562.32
610	542	300	424685	6373108.67	3539.04
610	542	400	413264.67	7560067	3443.87
610	542	500	408468.33	9087574.33	3403.9
610	542	600	440547.67	8238664.67	3671.23
610	542	700	465911.67	9537657.67	3882.6
610	542	800	436561.67	7577694	3638.01
610	542	900	487798	7797280.67	4064.98
610	542	1000	443698	8559346.33	3697.48
610	582	100	428855	7482934	3573.79
610	582	200	357694.67	9784542	2980.79
610	582	300	392616.67	9076536.33	3271.81
610	582	400	404147.33	9499914.67	3367.89
610	582	500	446933.33	8563987.33	3724.44
610	582	600	381554.33	9267699	3179.62
610	582	700	465718.67	8720501	3880.99
610	582	800	508308	9164163.33	4235.9
610	582	900	449600.67	9601228	3746.67
610	582	1000	488584	9926550.33	4071.53
610	601	100	430078.33	7855133.33	3583.99
610	601	200	380865.33	11757819.33	3173.88
610	601	300	377658.33	9049508.67	3147.15
610	601	400	397634.67	8598757	3313.62
610	601	500	404540	9645964.67	3371.17
610	601	600	438546	9433230	3654.55
610	601	700	461533.67	8224349.33	3846.11
610	601	800	391938	9876496.67	3266.15
610	601	900	408414	10040256.67	3403.45
610	601	1000	409422.67	10530624.67	3411.86
610	641	100	268384.33	6548680.67	2236.54
610	641	200	134913	6868990.67	1124.28
610	641	300	112956.33	7577393	941.3
610	641	400	134342.33	6485592	1119.52
610	641	500	137357.33	7106602.67	1144.64
610	641	600	91189.67	6073741	759.91
610	641	700	125630.67	8064917.67	1046.92
610	641	800	75190	7884842.67	626.58
610	641	900	102259	8619959	852.16
610	641	1000	89438.67	5983368.33	745.32
611	1	100	224.33	9444881.67	1.87
611	1	200	265.67	18856322.33	2.21
611	1	300	300	26733327.33	2.5
611	1	400	400	31584014	3.33
611	1	500	2884.67	27989573.33	24.04
611	1	600	3328	41072840.33	27.73
611	1	700	2375.33	58516534	19.79
611	1	800	1517	70492379.33	12.64
611	1	900	1006.67	78741530.67	8.39
611	1	1000	1080.67	89524374.67	9.01
611	2	100	147.67	4381100	1.23
611	2	200	213	14738775.67	1.78
611	2	300	268	23449689.33	2.23
611	2	400	336.67	25055326	2.81
611	2	500	2958.33	31245050	24.65
611	2	600	2795.67	42599260	23.3
611	2	700	2152	55589698.67	17.93
611	2	800	1148.33	61542291.33	9.57
611	2	900	1018	78757128	8.48
611	2	1000	1059	90086593.33	8.83
611	21	100	132.67	3129081.33	1.11
611	21	200	256.67	18357151.33	2.14
611	21	300	266.67	23198790.33	2.22
611	21	400	366.67	28135235	3.06
611	21	500	2856.67	31288203	23.81
611	21	600	2906	42774528	24.22
611	21	700	1686.67	58439986.67	14.06
611	21	800	1027	70461724.33	8.56
611	21	900	1017	79102466.33	8.48
611	21	1000	1096	93781529	9.13
611	22	100	216.33	10925322.33	1.8
611	22	200	227.67	17053353	1.9
611	22	300	274.67	24063811.67	2.29
611	22	400	331.67	24352559	2.76
611	22	500	2855.33	28048796.33	23.79
611	22	600	3404.67	43867062.33	28.37
611	22	700	2037.67	55906994.33	16.98
611	22	800	1082	70532119.33	9.02
611	22	900	1070.67	82170501.33	8.92
611	22	1000	1011.67	85860396.33	8.43
611	41	100	182.33	6248803.67	1.52
611	41	200	225.33	14997914.33	1.88
611	41	300	234.33	19814931.67	1.95
611	41	400	366.67	28081865	3.06
611	41	500	2870	34972516.67	23.92
611	41	600	3818	46974775.67	31.82
611	41	700	3132.33	55266331	26.1
611	41	800	1225.33	70563840.33	10.21
611	41	900	1088.67	81935778.33	9.07
611	41	1000	1117	93862445	9.31
611	42	100	207	8355806	1.73
611	42	200	210.67	14652242	1.76
611	42	300	243.67	20844459.67	2.03
611	42	400	297.33	20664265.33	2.48
611	42	500	3007	34919549.67	25.06
611	42	600	3711.33	41407029	30.93
611	42	700	2324	58698638.33	19.37
611	42	800	1075.33	67688279	8.96
611	42	900	1110.67	81447724.33	9.26
611	42	1000	1158.33	93703528.67	9.65
611	61	100	174.67	6099702.33	1.46
611	61	200	273	19846266.67	2.28
611	61	300	237.67	20192338.67	1.98
611	61	400	354.33	26822672	2.95
611	61	500	2907	35047083	24.23
