"RNUM"	"DBMS"	"EXPERIMENTNAME"	"RUNID"	"BATCHSETID"	"PK"	"NUMPROCESSORS"	"ACTROWPOOL"	"PCTREAD"	"PCTUPDATE"	"ATP"	"MAXMPL"
"212"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7686	1	0	0.666666666666667	0	1	0.121346	0.7
"213"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7706	1	0	1	0	1	0.591121	1
"214"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7726	1	0	0	0.01	0	0.001801	1
"215"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7747	1	0	0.333333333333333	0.01	0	0.001776	1
"216"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7766	1	0	0.666666666666667	0.01	0	0.001788	1
"217"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7786	1	0	1	0.01	0	0.001772	1
"218"	"mysql"	"pk-xt-1M-1000-120-1"	1290	8126	1	0	0	0.1	0	0.004349	1
"219"	"mysql"	"pk-xt-1M-1000-120-1"	1290	8146	1	0	0.333333333333333	0.1	0	0.004321	1
"220"	"mysql"	"pk-xt-1M-1000-120-1"	1290	8166	1	0	0.666666666666667	0.1	0	0.004542	1
"221"	"mysql"	"pk-xt-1M-1000-120-1"	1290	8186	1	0	1	0.1	0	0.00463	1
"222"	"mysql"	"pk-xt-1M-1000-120-1"	1290	8526	1	0	0	1	0	0.039611	1
"223"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9266	1	0.142857142857143	0	0	0.25	0.050215	1
"224"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9305	1	0.142857142857143	0.333333333333333	0	0.25	0.191382	0
"225"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9306	1	0.142857142857143	0.666666666666667	0	0.25	0.247444	0
"226"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9308	1	0.142857142857143	1	0	0.25	0.190423	0
"227"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9310	1	0.142857142857143	0	0	0.5	0.128471	1
"228"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9312	1	0.142857142857143	0.333333333333333	0	0.5	0.089631	0.7
"229"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9313	1	0.142857142857143	0.666666666666667	0	0.5	0.259999	1
"230"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9315	1	0.142857142857143	1	0	0.5	0.40236	0
"231"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9317	1	0.142857142857143	0	0	0.75	0.09827	1
"232"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9319	1	0.142857142857143	0.333333333333333	0	0.75	0.01018	0.6
"233"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9321	1	0.142857142857143	0.666666666666667	0	0.75	0.285945	0.7
"234"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9323	1	0.142857142857143	1	0	0.75	0.590002	1
"235"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9329	1	0.142857142857143	0	0	1	0.082681	1
"236"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9334	1	0.142857142857143	0.333333333333333	0	1	0.09128	0.7
"237"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9337	1	0.142857142857143	0.666666666666667	0	1	0.282831	0.5
"238"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9340	1	0.142857142857143	1	0	1	0.602074	1
"239"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9445	1	0.142857142857143	0.666666666666667	0.1	0	0.003016	1
"240"	"mysql"	"pk-xt-1M-1000-120-2"	1471	9447	1	0.142857142857143	1	0.1	0	0.002975	0.7
