DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
db2	xt-1M-1000-120-2	949	1001	0	2	1	.01	0	29.872	1100
db2	xt-1M-1000-120-2	949	1441	0	2	.25	.1	0	26.157	1100
db2	xt-1M-1000-120-2	949	1461	0	2	.5	.1	0	30.506	800
db2	xt-1M-1000-120-2	949	1482	0	2	.75	.1	0	32.446	800
db2	xt-1M-1000-120-2	949	1501	0	2	1	.1	0	31.025	800
db2	xt-1M-1000-120-2	949	1821	0	2	.25	1	0	30.751	800
db2	xt-1M-1000-120-2	949	1841	0	2	.5	1	0	28.524	500
db2	xt-1M-1000-120-2	949	1861	0	2	.75	1	0	31.036	500
db2	xt-1M-1000-120-2	949	1881	0	2	1	1	0	30.147	1100
db2	xt-1M-1000-120-4	849	2203	0	4	.25	0	25	15.038	1100
db2	xt-1M-1000-120-4	849	2222	0	4	.5	0	25	14.679	1100
db2	xt-1M-1000-120-4	849	2224	0	4	.75	0	25	14.045	1100
db2	xt-1M-1000-120-4	849	2225	0	4	1	0	25	14.076	1100
db2	xt-1M-1000-120-4	849	2228	0	4	.25	0	50	15.403	1100
db2	xt-1M-1000-120-4	849	2242	0	4	.5	0	50	14.462	1100
db2	xt-1M-1000-120-4	849	2261	0	4	.75	0	50	14.459	1100
db2	xt-1M-1000-120-4	849	2263	0	4	1	0	50	14.452	1100
db2	xt-1M-1000-120-4	849	2283	0	4	.25	0	75	15.302	1100
db2	xt-1M-1000-120-4	849	2301	0	4	.5	0	75	15.311	1100
db2	xt-1M-1000-120-4	849	2304	0	4	.75	0	75	14.841	1100
db2	xt-1M-1000-120-4	849	2322	0	4	1	0	75	13.879	1100
db2	xt-1M-1000-120-4	849	2323	0	4	.25	0	100	14.583	1100
db2	xt-1M-1000-120-4	849	2326	0	4	.5	0	100	14.638	1100
db2	xt-1M-1000-120-4	849	2342	0	4	.75	0	100	14.592	1100
db2	xt-1M-1000-120-4	849	2344	0	4	1	0	100	13.837	1100
db2	xt-1M-1000-120-4	849	2362	0	4	.25	.01	0	13.941	1100
db2	xt-1M-1000-120-4	849	2382	0	4	.5	.01	0	14.567	1100
db2	xt-1M-1000-120-4	849	2384	0	4	.75	.01	0	13.646	600
db2	xt-1M-1000-120-4	849	2387	0	4	1	.01	0	13.396	600
db2	xt-1M-1000-120-4	849	3003	0	4	.25	.1	0	13.572	600
db2	xt-1M-1000-120-4	849	3004	0	4	.5	.1	0	14.307	600
db2	xt-1M-1000-120-4	849	3023	0	4	.75	.1	0	12.581	600
db2	xt-1M-1000-120-4	849	3024	0	4	1	.1	0	10.926	600
db2	xt-1M-1000-120-4	849	3183	0	4	.25	1	0	14.317	700
db2	xt-1M-1000-120-4	849	3184	0	4	.5	1	0	14.065	800
db2	xt-1M-1000-120-4	849	3203	0	4	.75	1	0	12.805	1100
db2	xt-1M-1000-120-4	849	3204	0	4	1	1	0	11.708	500
db2	xt-1M-1000-120-8	1870	3764	0	8	.25	0	25	47.532	1100
db2	xt-1M-1000-120-8	1870	3804	0	8	.5	0	25	50.197	1100
db2	xt-1M-1000-120-8	1870	3806	0	8	.75	0	25	51.91	1100
db2	xt-1M-1000-120-8	1870	3823	0	8	1	0	25	52.215	1100
db2	xt-1M-1000-120-8	1870	3843	0	8	.25	0	50	49.674	1100
db2	xt-1M-1000-120-8	1870	3863	0	8	.5	0	50	51.83	1100
db2	xt-1M-1000-120-8	1870	4164	0	8	.75	0	50	52.6	1100
