"DBMS" "EXPERIMENTNAME" "RUNID" "BATCHSETID" "PK" "NUMPROCESSORS" "ACTROWPOOL" "PCTREAD" "PCTUPDATE" "ATP" "MAXMPL"
"225" "mysql" "pk-xt-1M-1000-120-1" 1290 8166 1 0.125 0.75 0.1 0.1 0.00412428620253623 1
"226" "mysql" "pk-xt-1M-1000-120-1" 1290 8186 1 0.125 1 0.1 0.1 0.0041989584717754 1
"227" "mysql" "pk-xt-1M-1000-120-1" 1290 8526 1 0.125 0.25 1 1 0.033704545339743 1
"228" "mysql" "pk-xt-1M-1000-120-2" 1471 9266 1 0.25 0.25 0 0 0.0426494743979304 1
"229" "mysql" "pk-xt-1M-1000-120-2" 1471 9305 1 0.25 0.5 0 0 0.161722769629644 0
"230" "mysql" "pk-xt-1M-1000-120-2" 1471 9306 1 0.25 0.75 0 0 0.209010962282901 0
"231" "mysql" "pk-xt-1M-1000-120-2" 1471 9308 1 0.25 1 0 0 0.160914318480182 0
"232" "mysql" "pk-xt-1M-1000-120-2" 1471 9310 1 0.25 0.25 0 0 0.108657847605041 1
"233" "mysql" "pk-xt-1M-1000-120-2" 1471 9312 1 0.25 0.5 0 0 0.075896644371058 0.7
"234" "mysql" "pk-xt-1M-1000-120-2" 1471 9313 1 0.25 0.75 0 0 0.219601361806246 1
"235" "mysql" "pk-xt-1M-1000-120-2" 1471 9315 1 0.25 1 0 0 0.339681966291973 0
"236" "mysql" "pk-xt-1M-1000-120-2" 1471 9317 1 0.25 0.25 0 0 0.0831832837783147 1
"237" "mysql" "pk-xt-1M-1000-120-2" 1471 9319 1 0.25 0.5 0 0 0.00888040395612386 0.6
"238" "mysql" "pk-xt-1M-1000-120-2" 1471 9321 1 0.25 0.75 0 0 0.241486240546562 0.7
"239" "mysql" "pk-xt-1M-1000-120-2" 1471 9323 1 0.25 1 0 0 0.497957625868359 1
"240" "mysql" "pk-xt-1M-1000-120-2" 1471 9329 1 0.25 0.25 0 0 0.0700338966430353 1
"241" "mysql" "pk-xt-1M-1000-120-2" 1471 9334 1 0.25 0.5 0 0 0.0772872485545831 0.7
"242" "mysql" "pk-xt-1M-1000-120-2" 1471 9337 1 0.25 0.75 0 0 0.238860157592192 0.5
"243" "mysql" "pk-xt-1M-1000-120-2" 1471 9340 1 0.25 1 0 0 0.508139804251718 1
"244" "mysql" "pk-xt-1M-1000-120-2" 1471 9445 1 0.25 0.75 0.1 0.1 0.00283722735941123 1
"245" "mysql" "pk-xt-1M-1000-120-2" 1471 9447 1 0.25 1 0.1 0.1 0.00280242228663628 0.7
"246" "mysql" "pk-xt-1M-1000-120-2" 1471 9450 1 0.25 0.5 1 1 0.0277613531348276 1
